2021-11-15 20:56:42 - INFO  - tn.esprit.spring.MessionTests - Starting MessionTests on DESKTOP-AJTRO6P with PID 12340 (started by WIKI in C:\Users\WIKI\Desktop\Devops)
2021-11-15 20:56:42 - INFO  - tn.esprit.spring.MessionTests - No active profile set, falling back to default profiles: default
2021-11-15 20:56:43 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-11-15 20:56:43 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81ms. Found 6 repository interfaces.
2021-11-15 20:56:43 - INFO  - o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$c9a78659] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-15 20:56:43 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-15 20:56:44 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-15 20:56:44 - INFO  - o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-11-15 20:56:44 - INFO  - org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final}
2021-11-15 20:56:44 - INFO  - org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-11-15 20:56:44 - INFO  - o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-11-15 20:56:44 - INFO  - org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-11-15 20:56:45 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:56:45 - INFO  - o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2021-11-15 20:56:46 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-15 20:56:46 - WARN  - o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-15 20:56:47 - INFO  - tn.esprit.spring.MessionTests - Started MessionTests in 4.779 seconds (JVM running for 5.448)
2021-11-15 20:56:47 - INFO  - t.e.s.services.MissionServiceImp - in  retrieveMission id = 1
2021-11-15 20:56:47 - INFO  - t.e.s.services.MissionServiceImp - mission returned : null
2021-11-15 20:56:47 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-15 20:56:47 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:56:47 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-15 20:56:47 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-15 20:57:30 - INFO  - tn.esprit.spring.MessionTests - Starting MessionTests on DESKTOP-AJTRO6P with PID 12196 (started by WIKI in C:\Users\WIKI\Desktop\Devops)
2021-11-15 20:57:30 - INFO  - tn.esprit.spring.MessionTests - No active profile set, falling back to default profiles: default
2021-11-15 20:57:30 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-11-15 20:57:30 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78ms. Found 6 repository interfaces.
2021-11-15 20:57:31 - INFO  - o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$39fcb39d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-15 20:57:31 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-15 20:57:31 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-15 20:57:31 - INFO  - o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-11-15 20:57:31 - INFO  - org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final}
2021-11-15 20:57:31 - INFO  - org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-11-15 20:57:31 - INFO  - o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-11-15 20:57:32 - INFO  - org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-11-15 20:57:33 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:57:33 - INFO  - o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2021-11-15 20:57:34 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
